Code,coordonnees,indice,temperature,humidite,weather
59,"[50.52896715, 3.0883523694464854]",35.47590206517877,7.9,89.3,
59,"[50.52896715, 3.0883523694464854]",45.105203851410444,7.9,89.3,
59,"[50.52896715, 3.0883523694464854]",NULL,7.9,89.3,
59,"[50.52896715, 3.0883523694464854]",65.17886885823584,7.9,89.3,
59,"[50.52896715, 3.0883523694464854]",NULL,7.9,89.3,
59,"[50.52896715, 3.0883523694464854]",NULL,7.9,89.3,
59,"[50.52896715, 3.0883523694464854]",36.13082794633109,7.9,89.3,
59,"[50.52896715, 3.0883523694464854]",NULL,8.8,84.4,
60,"[49.41205455, 2.406487846905477]",NULL,7.6,89.7,
61,"[48.57605325, 0.04466171759588161]",40.34856642650702,9.1,75.7,
63,"[45.7715343, 3.0839934206717934]",56.33640003650745,11.3,64.7,
63,"[45.7715343, 3.0839934206717934]",NULL,11.3,64.7,
63,"[45.7715343, 3.0839934206717934]",NULL,11.3,64.7,
63,"[45.7715343, 3.0839934206717934]",67.85633681463943,11.3,64.7,
63,"[45.7715343, 3.0839934206717934]",NULL,11.3,64.7,
64,"[43.18718655, -0.728247400084667]",45.42810485360509,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",64.33808518970608,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",45.42810485360509,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",NULL,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",47.702002161472215,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",41.87475926720605,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",64.33808518970608,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",40.43121130948947,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",48.938590256661634,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",NULL,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",65.07539197180003,14.6,76.8,
64,"[43.18718655, -0.728247400084667]",67.53281406731766,14.6,76.8,
65,"[43.1437925, 0.15866611287926924]",NULL,12.8,81.7,
65,"[43.1437925, 0.15866611287926924]",64.20831463835891,12.8,81.7,
65,"[43.1437925, 0.15866611287926924]",56.58571421378789,12.8,81.7,
66,"[42.625894, 2.5065089946931507]",NULL,14.6,75.3,
66,"[42.625894, 2.5065089946931507]",52.01252480481311,14.6,75.3,
66,"[42.625894, 2.5065089946931507]",49.37391951045289,14.6,75.3,
66,"[42.625894, 2.5065089946931507]",NULL,14.6,75.3,
66,"[42.625894, 2.5065089946931507]",41.70048105712816,14.6,75.3,
67,"[48.5991783, 7.533672856882669]",44.909289672436266,8.9,77.6,
67,"[48.5991783, 7.533672856882669]",67.87030505955163,8.9,77.6,
68,"[47.8654746, 7.231543347579764]",52.45375723042076,9.4,69.5,
68,"[47.8654746, 7.231543347579764]",NULL,9.4,69.5,
68,"[47.8654746, 7.231543347579764]",62.064819421580964,9.4,69.5,
68,"[47.8654746, 7.231543347579764]",63.34437865173753,9.4,69.5,
68,"[47.8654746, 7.231543347579764]",66.32644164689991,9.4,69.5,
68,"[47.8654746, 7.231543347579764]",57.076048691290474,9.4,69.5,
69,"[45.8802348, 4.564533629559522]",NULL,10.3,66.9,
69,"[45.8802348, 4.564533629559522]",21.121388735929514,10.3,66.9,
69,"[45.8802348, 4.564533629559522]",NULL,10.3,66.9,
69,"[45.8802348, 4.564533629559522]",61.90032799108008,10.3,66.9,
69,"[45.8802348, 4.564533629559522]",NULL,10.3,66.9,
69,"[45.8802348, 4.564533629559522]",42.41190495181126,10.3,66.9,
71,"[46.6557086, 4.55855481835173]",51.48117723937127,9.2,77.8,
72,"[48.026928749999996, 0.2538217482247317]",NULL,10.3,83.0,
73,"[45.494895150000005, 6.384660381375652]",NULL,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",NULL,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",62.48678344646964,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",57.55321589914969,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",44.61106330468742,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",47.009714111013,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",54.45657931324237,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",47.979273767370906,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",53.800698680941494,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",53.800698680941494,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",NULL,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",42.83513123013764,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",47.30409446739075,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",44.04247907003773,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",47.39799727019008,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",51.87520346166258,-1.4,84.2,
73,"[45.494895150000005, 6.384660381375652]",54.23215753858829,-1.4,84.2,
74,"[46.068820849999994, 6.344536991587102]",56.54508352066182,10.5,54.5,
74,"[46.068820849999994, 6.344536991587102]",63.94305301658769,10.5,54.5,
74,"[46.068820849999994, 6.344536991587102]",NULL,10.5,54.5,
74,"[46.068820849999994, 6.344536991587102]",44.68805114415936,10.5,54.5,
74,"[46.068820849999994, 6.344536991587102]",63.11406226589179,10.5,54.5,
75,"[48.8534951, 2.3483915]",45.6590356968859,9.9,74.5,
75,"[48.8534951, 2.3483915]",63.694374906056005,9.9,74.5,
75,"[48.8534951, 2.3483915]",47.54113773280086,9.9,74.5,
76,"[49.66323745, 0.9401133910609153]",49.22392873585902,8.0,86.1,
76,"[49.66323745, 0.9401133910609153]",57.252268548927475,8.0,86.1,
76,"[49.66323745, 0.9401133910609153]",47.97080619624474,8.0,86.1,
77,"[48.61902069999999, 3.0418157506708345]",37.60664779003315,9.2,79.3,
77,"[48.61902069999999, 3.0418157506708345]",44.43005239245333,9.2,79.3,
78,"[48.76203735, 1.8871375621264361]",NULL,9.4,77.5,
79,"[46.53914, -0.29947849341978416]",NULL,10.6,68.6,
79,"[46.53914, -0.29947849341978416]",NULL,10.6,68.6,
80,"[49.96894815, 2.373885538932255]",42.86178363918138,8.5,80.5,
81,"[43.7921741, 2.133964772269535]",54.03012576413174,12.9,75.2,
82,"[44.080656000000005, 1.2050632958700225]",52.293435730480056,13.9,74.5,
83,"[43.4173592, 6.2664620128919]",39.8710369783774,17.3,33.3,
84,"[43.993864349999996, 5.1818898389002355]",NULL,14.9,45.9,
84,"[43.993864349999996, 5.1818898389002355]",47.53045445358895,14.9,45.9,
85,"[46.67577325, -1.29144634801388]",NULL,10.9,70.4,
85,"[46.67577325, -1.29144634801388]",38.58858334976755,10.9,70.4,
85,"[46.67577325, -1.29144634801388]",NULL,10.9,70.4,
85,"[46.67577325, -1.29144634801388]",47.71046543703819,10.9,70.4,
86,"[46.612116549999996, 0.4654070096639711]",54.00307371680214,11.2,63.8,
87,"[45.91901925, 1.203176771876291]",57.685272526444564,10.3,73.4,
88,"[48.16378605, 6.382071173595532]",56.64828254980213,8.0,74.8,
88,"[48.16378605, 6.382071173595532]",54.55255981741433,8.0,74.8,
88,"[48.16378605, 6.382071173595532]",54.61768856801397,8.0,74.8,
90,"[47.62923095, 6.899301156710882]",64.44718873998893,8.7,70.1,
91,"[48.53034015, 2.239291805668168]",55.103689309133195,9.8,71.0,
91,"[48.53034015, 2.239291805668168]",37.22631746238301,9.8,71.0,
