code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
90,2023-04-27,18.4,39,15.6,7,0.0,1016.3,89,24140.0,11.5,4.25,7.0,2.16,0.0,False,0.2592279193885566,64.44718873998893,
91,2023-04-27,18.2,52,16.0,37,0.0,1015.2,100,17280.0,12.0,2.3,6.7,7.49,0.0,False,0.23357664215551116,29.626078015376283,
92,2023-04-27,19.0,48,16.9,23,0.0,1015.0,100,24140.0,10.2,3.4,6.8,440.57,0.0,False,1.3767933336948617,NULL,
93,2023-04-27,19.6,42,17.9,13,0.0,1015.0,100,24140.0,5.6,3.5,8.5,0.47000000000000003,0.0,False,0.26587962652575026,NULL,
94,2023-04-27,19.5,43,17.3,19,0.0,1015.1,100,24140.0,9.4,3.95,6.5,158.22,0.0,False,0.40027710320920046,NULL,
95,2023-04-27,18.8,50,17.4,15,0.0,1015.0,100,24140.0,6.0,2.35,8.9,238.33,0.0,False,0.7120097445753638,NULL,
971,2023-04-27,30.6,62,36.1,82,0.1,1015.3,76,24140.0,0.4,6.65,4.1,,3.1746031746031753,,,NULL,
972,2023-04-27,28.4,76,32.8,95,0.1,1015.7,85,20240.0,11.8,6.75,10.8,0.87,7.633587786259542,,0.2604100983491538,NULL,
973,2023-04-27,26.0,79,30.0,61,0.0,1015.3,87,6960.0,7.6,6.95,1.5,10.27,0.0,,0.21955619287359418,NULL,
974,2023-04-27,14.6,89,14.7,67,0.0,1017.2,62,21620.0,5.2,0.1,7.7,,0.0,,,NULL,
976,2023-04-27,27.9,81,33.1,63,0.2,1010.8,51,24140.0,7.8,1.35,3.0,0.31,16.666666666666668,,0.2627306168242953,NULL,
