code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
67,2023-06-02,20.2,46,18.8,6,0.0,1016.4,31,24140.0,5.9,0.6,,0.09,0.0,0,0.2348449253585024,,
68,2023-06-02,22.6,42,20.0,15,0.0,1015.2,40,24140.0,15.6,0.6,,0.25,0.0,0,0.23502720514097403,,
69,2023-06-02,19.9,72,20.6,24,0.0,1015.5,100,17900.0,6.0,0.75,,0.93,0.0,0,0.22801359342786473,,
70,2023-06-02,21.3,61,21.7,10,0.0,1014.7,25,24140.0,4.6,0.65,,0.91,0.0,0,0.22895751528896235,,
71,2023-06-02,21.0,68,21.7,22,0.0,1015.2,100,22800.0,5.6,0.8,,0.79,0.0,0,0.22886902261448427,,
72,2023-06-02,19.9,50,17.6,9,0.0,1017.6,0,24140.0,14.3,0.9500000000000001,,3.9699999999999998,0.0,0,0.21698453206686283,,
73,2023-06-02,7.5,82,5.8,93,0.1,1018.3,100,19580.0,2.8,0.7000000000000001,,91.06,1.7331022530329292,0,0.1655798885682657,,
74,2023-06-02,20.4,68,21.2,48,0.0,1015.3,100,24140.0,3.8,0.65,,2.87,0.0,0,0.2196741042928762,,
75,2023-06-02,19.9,59,18.6,5,0.0,1018.3,0,24140.0,12.5,0.85,,223.26,0.0,0,0.7065068664413451,,
76,2023-06-02,12.7,75,9.9,3,0.0,1021.1,0,24140.0,16.1,0.9500000000000001,,1.12,0.0,0,0.22712866668308535,,
77,2023-06-02,18.5,62,16.7,9,0.0,1017.6,0,24140.0,14.9,0.85,,1.09,0.0,0,0.2280188878613802,,
78,2023-06-02,17.8,65,16.4,9,0.0,1018.5,0,24140.0,12.2,0.85,,0.97,0.0,0,0.2282669698889761,,
79,2023-06-02,21.1,67,21.7,10,0.0,1014.9,100,24140.0,6.7,1.0,,0.16,0.0,0,0.23172347862713097,,
80,2023-06-02,13.6,73,10.6,3,0.0,1020.8,0,24140.0,17.8,0.9,,0.59,0.0,0,0.22950738002695828,,
81,2023-06-02,20.9,71,21.9,24,0.0,1014.2,23,24140.0,6.3,0.8,,0.81,0.0,0,0.22860656998163112,,
82,2023-06-02,22.5,62,23.4,27,0.0,1013.5,33,11560.0,5.3,0.8,,1.45,0.0,0,0.2264986290947079,,
83,2023-06-02,19.0,86,20.7,20,0.0,1015.0,100,24140.0,4.4,0.35000000000000003,,16.17,0.0,0,0.16077958221105496,,
84,2023-06-02,19.4,83,21.1,30,0.0,1015.3,100,24140.0,4.1,0.4,,8.35,0.0,0,0.19514877555252141,,
85,2023-06-02,24.0,45,22.5,16,0.0,1014.9,50,24140.0,12.5,1.0,,0.56,0.0,0,0.23307280282600926,,
86,2023-06-02,22.0,60,22.6,16,0.0,1015.1,65,24140.0,4.6,0.9500000000000001,,38.37,0.0,0,0.06433315589714174,,
87,2023-06-02,19.2,82,20.4,30,0.0,1015.0,100,23120.0,6.1,0.9500000000000001,,0.5700000000000001,0.0,0,0.22946578090647698,,
88,2023-06-02,19.8,57,18.7,8,0.0,1015.7,25,24140.0,9.7,0.7000000000000001,,10.05,0.0,0,0.189100263434573,,
89,2023-06-02,20.2,53,18.8,5,0.0,1015.9,0,24140.0,10.2,0.8,,17.45,0.0,0,0.15711507787049359,,
90,2023-06-02,20.3,49,19.2,13,0.0,1015.0,25,24140.0,6.3,0.6,,0.75,0.0,0,0.2313702642768653,,
91,2023-06-02,18.8,59,17.1,7,0.0,1017.9,0,24140.0,12.7,0.85,,5.22,0.0,0,0.21012975335922607,,
92,2023-06-02,19.0,61,17.5,5,0.0,1018.6,0,24140.0,13.0,0.85,,222.0,0.0,0,0.7020595422880952,,
93,2023-06-02,19.5,61,18.4,4,0.0,1018.3,0,24140.0,11.8,0.85,,0.06,0.0,0,0.2326802583981967,,
94,2023-06-02,19.3,61,18.1,6,0.0,1018.0,0,24140.0,11.8,0.85,,64.68,0.0,0,0.050645300417269834,,
95,2023-06-02,17.4,67,15.5,4,0.0,1018.9,0,24140.0,15.5,0.85,,122.32,0.0,0,0.2988672523278679,,
971,2023-06-02,30.2,70,33.9,23,0.3,1011.9,68,24140.0,16.8,6.3,,,20.408163265306122,,,,
972,2023-06-02,29.7,70,33.3,35,0.1,1012.0,66,24140.0,14.8,6.3,,0.8,8.771929824561404,,0.22904600796344043,,
973,2023-06-02,29.1,63,32.3,98,0.1,1010.3,70,14860.0,8.8,4.25,,9.17,1.1454753722794961,,0.19260744746495098,,
974,2023-06-02,11.0,81,9.7,8,0.0,1024.9,14,17140.0,4.6,0.0,,,0.0,,,,
976,2023-06-02,24.4,90,29.2,7,0.0,1017.2,11,24140.0,2.9,0.0,,0.23,0.0,,0.23142245226437755,,
